Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.3705, 'grad_norm': 0.6083926809721876, 'learning_rate': 4.31360340110438e-05, 'epoch': 0.27}
{'loss': 0.4504, 'grad_norm': 0.6452734546172313, 'learning_rate': 4.293384378857903e-05, 'epoch': 0.27}
{'loss': 0.447, 'grad_norm': 0.6240576214321562, 'learning_rate': 4.272920752568112e-05, 'epoch': 0.28}
{'loss': 0.3882, 'grad_norm': 0.5506972731284493, 'learning_rate': 4.2522153133186074e-05, 'epoch': 0.28}
{'loss': 0.4255, 'grad_norm': 0.6327603370217336, 'learning_rate': 4.231270885174448e-05, 'epoch': 0.28}
{'loss': 0.3457, 'grad_norm': 0.5744990947176236, 'learning_rate': 4.2100903247969644e-05, 'epoch': 0.29}
{'loss': 0.4158, 'grad_norm': 0.6752210686091125, 'learning_rate': 4.188676521054139e-05, 'epoch': 0.29}
{'loss': 0.4011, 'grad_norm': 0.6903375429028747, 'learning_rate': 4.167032394626579e-05, 'epoch': 0.29}
{'loss': 0.4477, 'grad_norm': 0.5358963720480948, 'learning_rate': 4.145160897609161e-05, 'epoch': 0.3}
{'loss': 0.4105, 'grad_norm': 0.5929743730147916, 'learning_rate': 4.123065013108388e-05, 'epoch': 0.3}
{'loss': 0.4579, 'grad_norm': 0.6895716940279949, 'learning_rate': 4.1007477548355185e-05, 'epoch': 0.31}
{'loss': 0.4971, 'grad_norm': 1.0289295942165861, 'learning_rate': 4.0782121666955126e-05, 'epoch': 0.31}
{'loss': 0.3985, 'grad_norm': 1.0523476279093968, 'learning_rate': 4.055461322371873e-05, 'epoch': 0.31}
{'loss': 0.5057, 'grad_norm': 0.7778144170133346, 'learning_rate': 4.0324983249074136e-05, 'epoch': 0.32}
{'loss': 0.383, 'grad_norm': 0.6085223671193947, 'learning_rate': 4.00932630628103e-05, 'epoch': 0.32}
{'loss': 0.4308, 'grad_norm': 0.7168890319326784, 'learning_rate': 3.985948426980521e-05, 'epoch': 0.32}
{'loss': 0.3875, 'grad_norm': 0.8916082723902699, 'learning_rate': 3.9623678755715224e-05, 'epoch': 0.33}
{'loss': 0.4063, 'grad_norm': 0.6252218126386577, 'learning_rate': 3.9385878682626087e-05, 'epoch': 0.33}
{'loss': 0.4082, 'grad_norm': 0.6357178993557875, 'learning_rate': 3.9146116484666294e-05, 'epoch': 0.33}
{'loss': 0.449, 'grad_norm': 0.7476059863296567, 'learning_rate': 3.890442486358331e-05, 'epoch': 0.34}
{'loss': 0.432, 'grad_norm': 0.57111602204365, 'learning_rate': 3.8660836784283275e-05, 'epoch': 0.34}
{'loss': 0.3884, 'grad_norm': 0.674992054522981, 'learning_rate': 3.84153854703349e-05, 'epoch': 0.35}
{'loss': 0.4472, 'grad_norm': 0.6823467718056122, 'learning_rate': 3.816810439943795e-05, 'epoch': 0.35}
{'loss': 0.4069, 'grad_norm': 0.5931798861746723, 'learning_rate': 3.791902729885721e-05, 'epoch': 0.35}
{'loss': 0.4588, 'grad_norm': 0.6750299191049179, 'learning_rate': 3.766818814082228e-05, 'epoch': 0.36}
{'loss': 0.4411, 'grad_norm': 0.6315587358224574, 'learning_rate': 3.7415621137894056e-05, 'epoch': 0.36}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.41304677724838257, 'eval_accuracy': 0.8582202111613876, 'eval_runtime': 94.7751, 'eval_samples_per_second': 1.118, 'eval_steps_per_second': 0.285, 'epoch': 0.36}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                   
{'loss': 0.4439, 'grad_norm': 0.9371324650093189, 'learning_rate': 3.716136073829839e-05, 'epoch': 0.36}
{'loss': 0.3787, 'grad_norm': 0.5854373393241221, 'learning_rate': 3.6905441621227624e-05, 'epoch': 0.37}
{'loss': 0.4156, 'grad_norm': 0.5236863661936175, 'learning_rate': 3.664789869211058e-05, 'epoch': 0.37}
{'loss': 0.4602, 'grad_norm': 0.6794911509573068, 'learning_rate': 3.638876707785174e-05, 'epoch': 0.37}
{'loss': 0.4725, 'grad_norm': 0.7626648881597696, 'learning_rate': 3.6128082122040224e-05, 'epoch': 0.38}
{'loss': 0.4085, 'grad_norm': 0.6485463888322305, 'learning_rate': 3.5865879380129157e-05, 'epoch': 0.38}
{'loss': 0.4082, 'grad_norm': 0.5464917726453488, 'learning_rate': 3.560219461458618e-05, 'epoch': 0.38}
{'loss': 0.3598, 'grad_norm': 0.668800969501757, 'learning_rate': 3.533706379001577e-05, 'epoch': 0.39}
{'loss': 0.4346, 'grad_norm': 0.6845316769417005, 'learning_rate': 3.507052306825383e-05, 'epoch': 0.39}
{'loss': 0.4075, 'grad_norm': 0.8466262874815396, 'learning_rate': 3.4802608803435646e-05, 'epoch': 0.4}
{'loss': 0.3898, 'grad_norm': 0.522687471047846, 'learning_rate': 3.453335753703731e-05, 'epoch': 0.4}
{'loss': 0.4023, 'grad_norm': 0.6810578499865938, 'learning_rate': 3.426280599289182e-05, 'epoch': 0.4}
{'loss': 0.3651, 'grad_norm': 0.5406847854285327, 'learning_rate': 3.39909910721802e-05, 'epoch': 0.41}
{'loss': 0.3808, 'grad_norm': 0.37376125005844657, 'learning_rate': 3.3717949848398485e-05, 'epoch': 0.41}
{'loss': 0.4137, 'grad_norm': 0.5259636872248511, 'learning_rate': 3.3443719562301147e-05, 'epoch': 0.41}
{'loss': 0.4371, 'grad_norm': 0.8029953701805249, 'learning_rate': 3.3168337616821745e-05, 'epoch': 0.42}
{'loss': 0.4067, 'grad_norm': 0.6092847283973627, 'learning_rate': 3.289184157197146e-05, 'epoch': 0.42}
{'loss': 0.4136, 'grad_norm': 0.6624502977658516, 'learning_rate': 3.26142691397162e-05, 'epoch': 0.42}
{'loss': 0.4333, 'grad_norm': 0.706272113530958, 'learning_rate': 3.233565817883292e-05, 'epoch': 0.43}
{'loss': 0.4374, 'grad_norm': 0.6436567915873413, 'learning_rate': 3.205604668974607e-05, 'epoch': 0.43}
{'loss': 0.3651, 'grad_norm': 0.5008178166430547, 'learning_rate': 3.1775472809344505e-05, 'epoch': 0.44}
{'loss': 0.4776, 'grad_norm': 0.7033526399746917, 'learning_rate': 3.149397480578002e-05, 'epoch': 0.44}
{'loss': 0.4544, 'grad_norm': 0.6166404777497316, 'learning_rate': 3.1211591073247784e-05, 'epoch': 0.44}
{'loss': 0.3998, 'grad_norm': 0.6156151474931524, 'learning_rate': 3.0928360126749676e-05, 'epoch': 0.45}
{'loss': 0.3932, 'grad_norm': 0.5799709766242139, 'learning_rate': 3.064432059684117e-05, 'epoch': 0.45}
{'loss': 0.4099, 'grad_norm': 0.6477724862126294, 'learning_rate': 3.035951122436235e-05, 'epoch': 0.45}
{'loss': 0.3924, 'grad_norm': 0.5043238952262854, 'learning_rate': 3.0073970855154053e-05, 'epoch': 0.46}
{'loss': 0.4247, 'grad_norm': 0.679072367876843, 'learning_rate': 2.978773843475947e-05, 'epoch': 0.46}
{'loss': 0.4264, 'grad_norm': 0.7797789452810359, 'learning_rate': 2.9500853003112384e-05, 'epoch': 0.46}
{'loss': 0.4535, 'grad_norm': 0.8208353354714907, 'learning_rate': 2.9213353689212337e-05, 'epoch': 0.47}
{'loss': 0.4472, 'grad_norm': 0.6681391487044285, 'learning_rate': 2.892527970578775e-05, 'epoch': 0.47}
{'loss': 0.3857, 'grad_norm': 0.7815057970087498, 'learning_rate': 2.8636670343947646e-05, 'epoch': 0.47}
