Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.4531, 'grad_norm': 0.6570804267798497, 'learning_rate': 4.1007477548355185e-05, 'epoch': 0.31}
{'loss': 0.4993, 'grad_norm': 1.0368291859087382, 'learning_rate': 4.0782121666955126e-05, 'epoch': 0.31}
{'loss': 0.3946, 'grad_norm': 0.9435265085719567, 'learning_rate': 4.055461322371873e-05, 'epoch': 0.31}
{'loss': 0.5003, 'grad_norm': 0.7918754842714791, 'learning_rate': 4.0324983249074136e-05, 'epoch': 0.32}
{'loss': 0.3804, 'grad_norm': 0.6207638989117746, 'learning_rate': 4.00932630628103e-05, 'epoch': 0.32}
{'loss': 0.4331, 'grad_norm': 0.7152848690538633, 'learning_rate': 3.985948426980521e-05, 'epoch': 0.32}
{'loss': 0.3925, 'grad_norm': 0.8201504978778741, 'learning_rate': 3.9623678755715224e-05, 'epoch': 0.33}
{'loss': 0.3988, 'grad_norm': 0.6692190144801302, 'learning_rate': 3.9385878682626087e-05, 'epoch': 0.33}
{'loss': 0.4128, 'grad_norm': 0.7212122298300452, 'learning_rate': 3.9146116484666294e-05, 'epoch': 0.33}
{'loss': 0.4492, 'grad_norm': 0.7705249565350679, 'learning_rate': 3.890442486358331e-05, 'epoch': 0.34}
{'loss': 0.4257, 'grad_norm': 0.5577673029861637, 'learning_rate': 3.8660836784283275e-05, 'epoch': 0.34}
{'loss': 0.3825, 'grad_norm': 0.6965214468806654, 'learning_rate': 3.84153854703349e-05, 'epoch': 0.35}
{'loss': 0.4452, 'grad_norm': 0.68752073087503, 'learning_rate': 3.816810439943795e-05, 'epoch': 0.35}
{'loss': 0.405, 'grad_norm': 0.6101672348528305, 'learning_rate': 3.791902729885721e-05, 'epoch': 0.35}
{'loss': 0.4591, 'grad_norm': 0.703409933479688, 'learning_rate': 3.766818814082228e-05, 'epoch': 0.36}
{'loss': 0.4302, 'grad_norm': 0.7151895738480063, 'learning_rate': 3.7415621137894056e-05, 'epoch': 0.36}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.41219064593315125, 'eval_accuracy': 0.861236802413273, 'eval_runtime': 94.6765, 'eval_samples_per_second': 1.12, 'eval_steps_per_second': 0.285, 'epoch': 0.36}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                   
{'loss': 0.4457, 'grad_norm': 0.9081448644914, 'learning_rate': 3.716136073829839e-05, 'epoch': 0.36}
{'loss': 0.3758, 'grad_norm': 0.6322777773566601, 'learning_rate': 3.6905441621227624e-05, 'epoch': 0.37}
{'loss': 0.4159, 'grad_norm': 0.5843588255253489, 'learning_rate': 3.664789869211058e-05, 'epoch': 0.37}
{'loss': 0.4588, 'grad_norm': 0.6718601870360744, 'learning_rate': 3.638876707785174e-05, 'epoch': 0.37}
{'loss': 0.4619, 'grad_norm': 0.7222376687248024, 'learning_rate': 3.6128082122040224e-05, 'epoch': 0.38}
{'loss': 0.4004, 'grad_norm': 0.7596879267456602, 'learning_rate': 3.5865879380129157e-05, 'epoch': 0.38}
{'loss': 0.413, 'grad_norm': 0.5078396902935495, 'learning_rate': 3.560219461458618e-05, 'epoch': 0.38}
{'loss': 0.3657, 'grad_norm': 0.6476267134285898, 'learning_rate': 3.533706379001577e-05, 'epoch': 0.39}
{'loss': 0.4342, 'grad_norm': 0.7031044071106876, 'learning_rate': 3.507052306825383e-05, 'epoch': 0.39}
{'loss': 0.4037, 'grad_norm': 0.6055431903369887, 'learning_rate': 3.4802608803435646e-05, 'epoch': 0.4}
{'loss': 0.3879, 'grad_norm': 0.5075541605720995, 'learning_rate': 3.453335753703731e-05, 'epoch': 0.4}
{'loss': 0.4075, 'grad_norm': 0.6861625749686405, 'learning_rate': 3.426280599289182e-05, 'epoch': 0.4}
{'loss': 0.3596, 'grad_norm': 0.5698492137967, 'learning_rate': 3.39909910721802e-05, 'epoch': 0.41}
{'loss': 0.3827, 'grad_norm': 0.40957279859931955, 'learning_rate': 3.3717949848398485e-05, 'epoch': 0.41}
{'loss': 0.4195, 'grad_norm': 0.575818536077806, 'learning_rate': 3.3443719562301147e-05, 'epoch': 0.41}
{'loss': 0.4391, 'grad_norm': 0.9326610397657582, 'learning_rate': 3.3168337616821745e-05, 'epoch': 0.42}
{'loss': 0.4121, 'grad_norm': 0.6899045575043165, 'learning_rate': 3.289184157197146e-05, 'epoch': 0.42}
{'loss': 0.4168, 'grad_norm': 0.7125598178540783, 'learning_rate': 3.26142691397162e-05, 'epoch': 0.42}
{'loss': 0.4354, 'grad_norm': 0.6999141459448781, 'learning_rate': 3.233565817883292e-05, 'epoch': 0.43}
{'loss': 0.4327, 'grad_norm': 0.5839879474759617, 'learning_rate': 3.205604668974607e-05, 'epoch': 0.43}
{'loss': 0.3626, 'grad_norm': 0.5580842019586634, 'learning_rate': 3.1775472809344505e-05, 'epoch': 0.44}
{'loss': 0.48, 'grad_norm': 0.743111777713247, 'learning_rate': 3.149397480578002e-05, 'epoch': 0.44}
{'loss': 0.4464, 'grad_norm': 0.5545525135650617, 'learning_rate': 3.1211591073247784e-05, 'epoch': 0.44}
{'loss': 0.3986, 'grad_norm': 0.6405985991179229, 'learning_rate': 3.0928360126749676e-05, 'epoch': 0.45}
{'loss': 0.3937, 'grad_norm': 0.5221315699084675, 'learning_rate': 3.064432059684117e-05, 'epoch': 0.45}
{'loss': 0.4125, 'grad_norm': 0.653306694384288, 'learning_rate': 3.035951122436235e-05, 'epoch': 0.45}
{'loss': 0.3989, 'grad_norm': 0.4780846089274828, 'learning_rate': 3.0073970855154053e-05, 'epoch': 0.46}
{'loss': 0.4282, 'grad_norm': 0.6672440220281579, 'learning_rate': 2.978773843475947e-05, 'epoch': 0.46}
{'loss': 0.4192, 'grad_norm': 0.6765434982420689, 'learning_rate': 2.9500853003112384e-05, 'epoch': 0.46}
{'loss': 0.4436, 'grad_norm': 0.7283598853885042, 'learning_rate': 2.9213353689212337e-05, 'epoch': 0.47}
{'loss': 0.4443, 'grad_norm': 0.7356512026288552, 'learning_rate': 2.892527970578775e-05, 'epoch': 0.47}
{'loss': 0.3836, 'grad_norm': 0.7501811853586877, 'learning_rate': 2.8636670343947646e-05, 'epoch': 0.47}
{'loss': 0.4105, 'grad_norm': 0.7419578079463648, 'learning_rate': 2.834756496782258e-05, 'epoch': 0.48}
{'loss': 0.3987, 'grad_norm': 0.7201598212819258, 'learning_rate': 2.805800300919572e-05, 'epoch': 0.48}
{'loss': 0.399, 'grad_norm': 0.5111771448351625, 'learning_rate': 2.776802396212461e-05, 'epoch': 0.49}
{'loss': 0.4574, 'grad_norm': 0.8531667642886114, 'learning_rate': 2.7477667377554507e-05, 'epoch': 0.49}
{'loss': 0.4021, 'grad_norm': 0.5991745560653754, 'learning_rate': 2.718697285792392e-05, 'epoch': 0.49}
{'loss': 0.4273, 'grad_norm': 0.5155687431297066, 'learning_rate': 2.6895980051763142e-05, 'epoch': 0.5}
{'loss': 0.3956, 'grad_norm': 0.5836043902680802, 'learning_rate': 2.660472864828649e-05, 'epoch': 0.5}
{'loss': 0.3777, 'grad_norm': 0.5326037295381258, 'learning_rate': 2.6313258371978994e-05, 'epoch': 0.5}
{'loss': 0.3717, 'grad_norm': 0.6931844645599926, 'learning_rate': 2.602160897717828e-05, 'epoch': 0.51}
{'loss': 0.4312, 'grad_norm': 0.5612111148321325, 'learning_rate': 2.5729820242652375e-05, 'epoch': 0.51}
{'loss': 0.4467, 'grad_norm': 0.752893864382765, 'learning_rate': 2.54379319661742e-05, 'epoch': 0.51}
{'loss': 0.4685, 'grad_norm': 0.7525252226331176, 'learning_rate': 2.5145983959093437e-05, 'epoch': 0.52}
{'loss': 0.4157, 'grad_norm': 0.6553303371835784, 'learning_rate': 2.4854016040906572e-05, 'epoch': 0.52}
{'loss': 0.4338, 'grad_norm': 1.1966896568320387, 'learning_rate': 2.4562068033825806e-05, 'epoch': 0.53}
